text,sentiment
had nice visit last night boy voraci stubbl anyon know raw chin haha,positive
never mind close sorri miley,negative
i leav alon accept appolog,positive
gonna ask boom boom morn,neutral
btw song alway find ur way back home hannah montana,neutral
time hit studi note prep friday exam,neutral
fall asleep wake gun shot arent fun,negative
spoke yesterday u didnt respond girl wassup though,neutral
thank btw u wonder check fuel brand,positive
bought italian horsesho charm dragon seem strong,positive
a messag could let peopl know i boot,negative
i want candi,neutral
is final dinner at nishiki sushi,neutral
lol fine i go,neutral
dfizzi ever read uh got one question would ever date fan lmao,neutral
school wish would end alreadi,positive
changedd background picnik,neutral
squash foot,neutral
have one bad day migrain today my st sinc neck surgeri month,negative
i cant watch anythgin till tonight,neutral
cheeek hurt bad happen,negative
great have wonder first day,positive
yay congratul oh newli mint graduat you let buy lunch ice chocol plural celebr,positive
heard grapevin might see around today look forward meet,positive
feet realli hurt,negative
i find stuff amus,negative
happi mother day mom especi wonderfuli mommi,positive
hey guy group peopl belong pune institut comput technolog colleg pune via http twibe com group pict,neutral
sulk home rain poor strategi now watch sun shine desk robart refer room,negative
is sad brother bad day,negative
tati i sent emal doll get,neutral
spoke soon weekend may delay like min aaaah gottaaa get outttt b lose,negative
lol yourock,positive
sorri mo thought u work tomorrow go casino togeth,negative
great day woman notic smile never disappear face ha murray all co i owe,positive
hate abl see monitor i minut sun blind,negative
i wanna karaok instead i get go work lame,negative
i want go back school sigh i poor,negative
hope go back work tomorrow tire flu besid i love work children fun play,neutral
i guess relax dinner movi tonight i look forward day work,positive
i game bad leav hi,negative
i love mom yo amo mi mama thank mommi ti amo con tutto il mio cuor happi mother day,positive
absolut love u r mani thing,positive
away cinema tweet later may th x,neutral
long farewel have super amaz day i go sleep,positive
damm server still need hit koxper pass,negative
guy come see car late,neutral
roll thursday,neutral
i realli glad abl watch game,positive
i slept through my alarm woke instead feel like complet tool,positive
bad mood annoy sunni,negative
miss fizzi duck love hive mind,positive
slice treat,neutral
i bore,negative
ohshnapsss piss blair usual hahah yeeeah bake cooki,neutral
kind hard see pic doggi pic exist,negative
what time close today is last day today tmr i may shed tear,negative
traffic ridicul im may make,negative
miss tim,negative
nice night bed time work tomorrow,positive
feelin well feel sooooo weak hate bein sick summer,negative
definit blast past,positive
i think,neutral
yeah meant,neutral
oh love well mcr song great happi star war day yaa xd,positive
wanna know wors cowork brew fresh cup coffe i think bacon,negative
yucki we last soccer game season today tryout start friday,negative
kinda nice break wont matter soon i grad school,positive
i listen your album youtub so awesom but buy,positive
want summer actual sun,neutral
hey much,neutral
final pic cya like hr haha,positive
haha well kinda i mommi lil pom chi hehe thank,positive
oh ouch that hurt wash machin get,negative
ooooo love pretti feet,positive
been sit garden mummi also got text boy thought got the hint obvious,neutral
can wait tomorrow it final bittersweet sure,neutral
danc pirouett ballerina hug morn awesom brudder,positive
home w bae myka he meann,negative
awww cool ate much ice cream,positive
hey it funni i stop get coffe way spilt half car,positive
shiraz event anti bahai center mosqu elect campaign sadli children wr involv zahedan,negative
ugh blister big toe leg shoulder raw life suck right,negative
start internship today pretti excit,positive
yup most hack fun here quick video i made i follow done http bit ly xm d,neutral
and ooh chang twitter name i approv whole heartedli,positive
good morn everyon it nice day iloveitwhen sun shine and i go write stuff,positive
ay buti pa kayo uy thank,positive
i dont associ fake ass,negative
third date went well move fourth,neutral
tell us experi i loveeee youu,positive
i know peopl say power nap good time i kinda alway miss alarm,neutral
ashotn look great look fantast alway you two still newlyw glow forev true love,positive
uggh everyth i send i keep send twitter so i forward i suck life,negative
haha might good luck take well hope i get put name,positive
lol l love tweet keep come,positive
when god creat man also believ creat million peopl get ya laff,negative
made laugh sorri gret go pool room,neutral
spring clean episod i realli,neutral
is way home aloha good night everyon,positive
awww nice you make realli beauti coupl balanc,positive
yeah work day,neutral
ha headach,negative
i go eat homework tv i know yet,neutral
cri like a fukn babi today durin da senior show ima miss all my senior friend,negative
my mom said i eat lot,neutral
tummi hurt oh noe,negative
lambert fan outsid us wish could vote adam,neutral
i die read i hate england,neutral
the good i drank jager lick hot asian girl foot the bad i remind i never get asian girl ever,neutral
just got nudg dian,neutral
feel like right one month school left fml hard,negative
thank follow back,positive
i would scratch head toooo,neutral
my wiki project go wait anoth month but manag think i need load time prepar halv workload,neutral
gonna eat pizza,neutral
yea i say someth it great hear ukrainian,positive
happi mother day mom,positive
shout,negative
thank btw men hairstyl right i grow hair long anyway hope good weekend,positive
sweet booth newport but peopl outsid http post ly heb,neutral
whi sn yeah sad day,negative
mon ami sinc year young i loveee foreverrr,positive
what stand marriag natali stop ask question go get job dad,negative
lack plan tonight anyon go,neutral
crazi fun you make man nice sri lanka spiritu place ye,positive
ok im pc world tweet u later lol,neutral
second friday night updat left citi http tini tv i ks,neutral
oh love famili,positive
know mom go monday get chang upset,negative
josh excus time go begin,neutral
my right ear block today bit like got water ani idea clear like put liquid,negative
